common_region,year,ev_scenario,ev_sales,ev_stock,ev_electricity_twh,ev_sales_cars,ev_stock_cars,ev_sales_bev,ev_sales_phev,ev_sales_fcev,ai_scenario,ai_it_electricity_twh,ai_it_capacity_gw,ai_load_factor,ai_pue,ai_electricity_twh,ai_capacity_gw,ccus_project_count,annual_ccus_capacity_tpa,annual_ccus_capacity_mtpa,cumulative_ccus_capacity_tpa,cumulative_ccus_capacity_mtpa,operating_project_count,planned_project_count,under_construction_project_count,combined_electricity_demand_twh,ev_share_of_combined_demand,ai_share_of_combined_demand,ccus_capacity_per_twh_demand,ev_ai_growth_pressure_score,ccus_buffer_score,ev_growth_rate,ai_growth_rate,demand_pressure_component,ev_growth_pressure_component,ai_growth_pressure_component,ccus_buffer_component,regional_pressure_score,pressure_class
North America,2023,Historical,1438816.0,4932967.0,0.0,1403000.0,4818000.0,1135600.0,300001.0,3215.0,Historical,120.0,26.0,51.0,1.32,158.0,35.0,77,437949000.0,437.949,605316000.0,605.316,5,66,0,158.0,0.0,1.0,3831113.924050633,0.0,93.02325581395348,0.0,0.4107142857142858,60.46511627906976,46.51162790697674,97.67441860465115,93.02325581395348,54.23228346456692,High Pressure
North America,2024,Historical,1676681.0,6573645.0,0.0,1630630.0,6419000.0,1345700.0,330001.0,980.0,Historical,142.0,32.0,50.0,1.32,187.0,43.0,28,7482000.0,7.482,612798000.0,612.798,3,22,1,187.0,0.0,1.0,3276994.6524064173,0.0,86.04651162790698,0.0,0.18354430379746844,65.11627906976744,46.51162790697674,83.72093023255815,86.04651162790698,55.21653543307087,High Pressure
United States,2020,Historical,303882.0,1780845.0,0.0,295200.0,1749200.0,238660.0,64000.0,1222.0,Historical,78.0,17.0,53.0,1.39,108.0,23.0,5,9661000.0,9.661,51411000.0,51.411,0,5,0,108.0,0.0,1.0,476027.77777777775,0.0,33.72093023255814,0.0,0.0,45.348837209302324,46.51162790697674,33.72093023255814,33.72093023255814,48.72047244094488,Medium Pressure
United States,2020,STEPS,303882.0,1780845.0,0.0,295200.0,1749200.0,238660.0,64000.0,1222.0,Historical,78.0,17.0,53.0,1.39,108.0,23.0,5,9661000.0,9.661,51411000.0,51.411,0,5,0,108.0,0.0,1.0,476027.77777777775,0.0,33.72093023255814,0.0,0.0,45.348837209302324,46.51162790697674,33.72093023255814,33.72093023255814,48.72047244094488,Medium Pressure
United States,2023,Historical,1421520.0,4905821.0,0.0,1393000.0,4818000.0,1128400.0,290000.0,3120.0,Historical,117.0,26.0,51.0,1.31,154.0,35.0,73,437949000.0,437.949,539023000.0,539.023,5,63,0,154.0,0.0,1.0,3500149.350649351,0.0,89.53488372093024,0.0,0.4259259259259258,56.97674418604651,46.51162790697674,100.0,89.53488372093024,54.42913385826771,High Pressure
United States,2023,STEPS,1421520.0,4905821.0,0.0,1393000.0,4818000.0,1128400.0,290000.0,3120.0,Historical,117.0,26.0,51.0,1.31,154.0,35.0,73,437949000.0,437.949,539023000.0,539.023,5,63,0,154.0,0.0,1.0,3500149.350649351,0.0,89.53488372093024,0.0,0.0,56.97674418604651,46.51162790697674,33.72093023255814,89.53488372093024,31.988188976377952,Medium Pressure
United States,2024,Historical,1556110.0,6442330.0,0.0,1520630.0,6319000.0,1235300.0,320000.0,810.0,Historical,139.0,31.0,50.0,1.32,183.0,42.0,25,7336000.0,7.336,546359000.0,546.359,3,20,0,183.0,0.0,1.0,2985568.306010929,0.0,83.72093023255815,0.0,0.1883116883116882,62.7906976744186,46.51162790697674,86.04651162790698,83.72093023255815,55.610236220472444,High Pressure
United States,2024,STEPS,1556110.0,6442330.0,25.264,1520630.0,6319000.0,1235300.0,320000.0,810.0,Historical,139.0,31.0,50.0,1.32,183.0,42.0,25,7336000.0,7.336,546359000.0,546.359,3,20,0,208.264,0.12130757115968194,0.8786924288403181,2623396.266277417,0.0,79.06976744186046,0.0,0.0,69.76744186046511,46.51162790697674,33.72093023255814,79.06976744186046,43.996062992125985,Medium Pressure
United States,2030,STEPS,3704070.0,22773200.0,91.439,3371500.0,21521000.0,2985000.0,684470.0,34600.0,Base Case,345.0,81.0,49.0,1.23,426.0,100.0,25,82740000.0,82.74,971550000.0,971.55,0,25,0,517.439,0.1767145499276243,0.8232854500723757,1877612.6268023865,0.0,62.7906976744186,2.6193397720075997,0.0,86.04651162790698,93.02325581395348,33.72093023255814,62.7906976744186,76.27952755905513,Critical Pressure
World,2020,Historical,11946009.0,49448225.0,0.0,2977600.0,10226000.0,10961000.0,974432.0,10577.0,Historical,176.0,38.0,51.0,1.53,269.0,60.0,24,53105000.0,53.105,140739000.0,140.739,7,11,0,269.0,0.0,1.0,523193.3085501859,0.0,38.372093023255815,0.0,0.0,73.25581395348837,46.51162790697674,33.72093023255814,38.372093023255815,63.28740157480315,High Pressure
World,2020,STEPS,11946009.0,49448225.0,0.0,2977600.0,10226000.0,10961000.0,974432.0,10577.0,Historical,176.0,38.0,51.0,1.53,269.0,60.0,24,53105000.0,53.105,140739000.0,140.739,7,11,0,269.0,0.0,1.0,523193.3085501859,0.0,38.372093023255815,0.0,0.0,73.25581395348837,46.51162790697674,33.72093023255814,38.372093023255815,63.28740157480315,High Pressure
World,2023,Historical,24279760.0,111425565.0,0.0,13709000.0,40066000.0,20055000.0,4208260.0,16500.0,Historical,252.0,57.0,49.0,1.43,361.0,83.0,127,533914000.0,533.914,855038000.0,855.038,11,109,0,361.0,0.0,1.0,2368526.3157894737,0.0,68.6046511627907,0.0,0.3420074349442379,80.23255813953489,46.51162790697674,90.69767441860465,68.6046511627907,73.91732283464566,High Pressure
World,2023,STEPS,24279760.0,111425565.0,0.0,13709000.0,40066000.0,20055000.0,4208260.0,16500.0,Historical,252.0,57.0,49.0,1.43,361.0,83.0,127,533914000.0,533.914,855038000.0,855.038,11,109,0,361.0,0.0,1.0,2368526.3157894737,0.0,68.6046511627907,0.0,0.0,80.23255813953489,46.51162790697674,33.72093023255814,68.6046511627907,54.6259842519685,High Pressure
World,2024,Historical,28329902.0,140210558.0,0.0,17505300.0,58070000.0,21803000.0,6512202.0,14700.0,Historical,295.0,68.0,49.0,1.41,416.0,97.0,78,48079000.0,48.079,903117000.0,903.117,11,62,1,416.0,0.0,1.0,2170954.326923077,0.0,65.11627906976744,0.0,0.1523545706371192,83.72093023255815,46.51162790697674,74.4186046511628,65.11627906976744,71.9488188976378,High Pressure
World,2024,STEPS,28329902.0,140210558.0,176.1,17505300.0,58070000.0,21803000.0,6512202.0,14700.0,Historical,295.0,68.0,49.0,1.41,416.0,97.0,78,48079000.0,48.079,903117000.0,903.117,11,62,1,592.1,0.29741597703090694,0.7025840229690931,1525277.824691775,0.0,58.139534883720934,0.0,0.0,88.37209302325581,46.51162790697674,33.72093023255814,58.139534883720934,63.87795275590551,High Pressure
World,2030,STEPS,74921100.0,419826000.0,781.0,40042000.0,232220000.0,62570000.0,12178100.0,173000.0,Base Case,733.0,174.0,48.0,1.29,946.0,226.0,165,444864000.0,444.864,2133298000.0,2133.298,0,158,1,1727.0,0.45222929936305734,0.5477707006369427,1235262.3045744065,0.0,51.162790697674424,3.4349801249290177,0.0,97.67441860465115,97.67441860465115,33.72093023255814,51.162790697674424,89.66535433070865,Critical Pressure
World,2030,STEPS,74921100.0,419826000.0,781.0,40042000.0,232220000.0,62570000.0,12178100.0,173000.0,Headwinds,522.0,122.0,48.0,1.28,669.0,158.0,165,444864000.0,444.864,2133298000.0,2133.298,0,158,1,1450.0,0.5386206896551724,0.4613793103448276,1471240.0,0.0,55.81395348837209,0.0,0.0,93.02325581395348,46.51162790697674,33.72093023255814,55.81395348837209,67.61811023622046,High Pressure
World,2030,STEPS,74921100.0,419826000.0,781.0,40042000.0,232220000.0,62570000.0,12178100.0,173000.0,High Efficiency,657.0,153.0,49.0,1.21,792.0,185.0,165,444864000.0,444.864,2133298000.0,2133.298,0,158,1,1573.0,0.4965034965034965,0.5034965034965035,1356197.0756516212,0.0,53.48837209302325,0.0,0.0,95.34883720930233,46.51162790697674,33.72093023255814,53.48837209302325,69.98031496062993,High Pressure
World,2030,STEPS,74921100.0,419826000.0,781.0,40042000.0,232220000.0,62570000.0,12178100.0,173000.0,Lift-Off,972.0,233.0,47.0,1.3,1264.0,305.0,165,444864000.0,444.864,2133298000.0,2133.298,0,158,1,2045.0,0.3819070904645477,0.6180929095354524,1043177.5061124695,0.0,48.837209302325576,0.0,0.0,100.0,46.51162790697674,33.72093023255814,48.837209302325576,74.70472440944883,High Pressure
