region,common_region,metric,scenario,year,unit,value
Middle East,Middle East,Total electricity consumption (TWh),Historical,2023,TWh,1.3
Middle East,Middle East,Total electricity consumption (TWh),Historical,2024,TWh,1.5
Middle East,Middle East,Total electricity consumption (TWh),Base Case,2030,TWh,3.0
Asia Pacific,Asia Pacific,Total electricity consumption (TWh),Historical,2020,TWh,93.0
Asia Pacific,Asia Pacific,Total electricity consumption (TWh),Historical,2023,TWh,128.0
Asia Pacific,Asia Pacific,Total electricity consumption (TWh),Historical,2024,TWh,150.0
Asia Pacific,Asia Pacific,Total electricity consumption (TWh),Base Case,2030,TWh,378.0
China,China,Total electricity consumption (TWh),Historical,2020,TWh,62.0
China,China,Total electricity consumption (TWh),Historical,2023,TWh,84.0
China,China,Total electricity consumption (TWh),Historical,2024,TWh,102.0
China,China,Total electricity consumption (TWh),Base Case,2030,TWh,277.0
World,World,IT electricity consumption (TWh),Historical,2020,TWh,176.0
World,World,IT electricity consumption (TWh),Historical,2023,TWh,252.0
World,World,IT electricity consumption (TWh),Historical,2024,TWh,295.0
World,World,IT electricity consumption (TWh),Base Case,2030,TWh,733.0
North America,North America,IT electricity consumption (TWh),Historical,2020,TWh,80.0
North America,North America,IT electricity consumption (TWh),Historical,2023,TWh,120.0
North America,North America,IT electricity consumption (TWh),Historical,2024,TWh,142.0
North America,North America,IT electricity consumption (TWh),Base Case,2030,TWh,351.0
United States,United States,IT electricity consumption (TWh),Historical,2020,TWh,78.0
United States,United States,IT electricity consumption (TWh),Historical,2023,TWh,117.0
United States,United States,IT electricity consumption (TWh),Historical,2024,TWh,139.0
United States,United States,IT electricity consumption (TWh),Base Case,2030,TWh,345.0
Central and South America,Central and South America,IT electricity consumption (TWh),Historical,2020,TWh,0.8
Central and South America,Central and South America,IT electricity consumption (TWh),Historical,2023,TWh,0.8
Central and South America,Central and South America,IT electricity consumption (TWh),Historical,2024,TWh,1.0
Central and South America,Central and South America,IT electricity consumption (TWh),Base Case,2030,TWh,2.2
Europe,Europe,IT electricity consumption (TWh),Historical,2020,TWh,36.0
Europe,Europe,IT electricity consumption (TWh),Historical,2023,TWh,45.0
Europe,Europe,IT electricity consumption (TWh),Historical,2024,TWh,47.0
Europe,Europe,IT electricity consumption (TWh),Base Case,2030,TWh,88.0
