project_name,country,common_region,region_group,status,sector,capture_type,transport_type,storage_type,utilization_type,start_year,announced_year,capacity_tpa,capacity_mtpa,latitude,longitude,raw_status,raw_sector,source_file,status_standardized
3D DMX ArcelorMittal and IFPEN Dunkirk (full-scale),France,Europe,Europe,Cancelled,Industry,Capture,,,,2025,2019,700000.0,0.7,,,Cancelled,Industry,IEA-CCUS-2026.xlsx,cancelled_or_suspended
8Rivers H2 (8RH2) (WY),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,,2022,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Emirates Steel Industries,United Arab Emirates,Middle East,Middle East,Operational,Industry,Full chain,,EOR,,2016,2007,800000.0,0.8,,,Operational,Industry,IEA-CCUS-2026.xlsx,operational
Habshan-Bab gas plant,United Arab Emirates,Middle East,Middle East,Under construction,Fuel transformation,Full chain,,EOR,,2026,2020,1500000.0,1.5,,,Under construction,Fuel transformation,IEA-CCUS-2026.xlsx,under_construction
Shah gas plant (Abu Dhabi CCS Phase 2),United Arab Emirates,Middle East,Middle East,Planned,Fuel transformation,Full chain,,EOR,,2030,2020,2300000.0,2.3,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Acorn CCS phase 1-Capture at St Fergus,United Kingdom,Europe,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,,2016,300000.0,0.3,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Acorn CCS phase 1-T&S,United Kingdom,Europe,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2028,2016,800000.0,0.8,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Acorn CCS phase 2,United Kingdom,Europe,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,,2017,5000000.0,5.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Acorn H2,United Kingdom,Europe,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,,2018,400000.0,0.4,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Adbri Project,Australia,Australia,Australia and New Zealand,Cancelled,Industry,Capture,,Dedicated storage,,,2021,,,,,Cancelled,Industry,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Mt Simon Hub CCS Pipeline (IA),United States,United States,North America,Cancelled,CO2 T&S,Transport,,Dedicated storage,,2028,2022,12000000.0,12.0,,,Cancelled,CO2 T&S,IEA-CCUS-2026.xlsx,cancelled_or_suspended
ADM Cedar rapids bioethanol (IA),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2022,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
ADM Clinton bioethanol (IA),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2022,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Aemetis CCS Keyes facility (CA),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2021,200000.0,0.2,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Aemetis CCS Riverbank facility (CA),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2021,200000.0,0.2,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Air Liquide hydrogen facility Rotterdam (Porthos),Netherlands,Europe,Europe,Under construction,Fuel transformation,Capture,,Dedicated storage,,2026,2012,500000.0,0.5,,,Under construction,Fuel transformation,IEA-CCUS-2026.xlsx,under_construction
Aramis CCS transport phase 1,Netherlands,Europe,Europe,Planned,CO2 T&S,Transport,,Dedicated storage,,2030,2019,12900000.0,12.9,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Net-zero Hydrogen Energy Complex (ALB),Canada,Canada,North America,Under construction,Fuel transformation,Capture,,,,2028,2021,3000000.0,3.0,,,Under construction,Fuel transformation,IEA-CCUS-2026.xlsx,under_construction
AirCapture DACU at Nutrien Kennewick Fertilizer (WA),United States,United States,North America,Planned,DAC,CCU,,,,,2022,,,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
AirCapture Nuclear DAC at JM Farley Nuclear (AL),United States,United States,North America,Planned,DAC,Capture,,Dedicated storage,,,2022,,,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
Merritt Electrofuels Project DAC (BC),Canada,Canada,North America,Planned,DAC,CCU,,,,,2021,250000.0,0.25,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
Alberta Carbon Grid (ALB) phase 1 (Industrial heartland),Canada,Canada,North America,Planned,CO2 T&S,T&S,,Dedicated storage,,2028,2021,10000000.0,10.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Alberta Carbon Trunk Line (ACTL) (ALB),Canada,Canada,North America,Operational,CO2 T&S,Transport,,EOR,,2020,2011,14600000.0,14.6,,,Operational,CO2 T&S,IEA-CCUS-2026.xlsx,operational
Altera Stella Maris CCS Project Phase 2,Norway,Europe,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,,2020,3000000.0,3.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Antwerp@ C CO2 Export Hub phase 1,Belgium,Europe,Europe,Planned,CO2 T&S,Transport,,Dedicated storage,,2030,2019,2500000.0,2.5,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Aramis CCS storage phase 1,Netherlands,Europe,Europe,Planned,CO2 T&S,Storage,,Dedicated storage,,2030,2019,7500000.0,7.5,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Aramis CCS storage phase 2,Netherlands,Europe,Europe,Planned,CO2 T&S,Storage,,Dedicated storage,,2033,2019,3100000.0,3.1,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Arcelor LanzaTech Carbalyst (Steelanol) Ghent,Belgium,Europe,Europe,Operational,Industry,CCU,,,,2022,2011,125000.0,0.125,,,Operational,Industry,IEA-CCUS-2026.xlsx,operational
Arkalon CO2 Compression Facility (KS),United States,United States,North America,Operational,Fuel transformation,Full chain,,EOR,,2009,,310000.0,0.31,,,Operational,Fuel transformation,IEA-CCUS-2026.xlsx,operational
Arthit offshore gas field CCS,Thailand,Thailand,Other Asia Pacific,Planned,Fuel transformation,Full chain,,Dedicated storage,,2028,2021,1000000.0,1.0,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Arun CCS,Indonesia,Indonesia,Other Asia Pacific,Planned,CO2 T&S,Storage,,Dedicated storage,,2029,2022,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Eastern Louisiana Clean Energy Complex (LA) ,United States,United States,North America,Planned,Fuel transformation,Full chain,,Dedicated storage,,2029,2021,5000000.0,5.0,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Atlas Carbon Sequestration Hub Phase 1 (ALB),Canada,Canada,North America,Under construction,CO2 T&S,T&S,,Dedicated storage,,2028,2021,650000.0,0.65,,,Under construction,CO2 T&S,IEA-CCUS-2026.xlsx,under_construction
Atlas Carbon Sequestration Hub Phase 2 (ALB),Canada,Canada,North America,Planned,CO2 T&S,T&S,,Dedicated storage,,2028,2022,9250000.0,9.25,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Aukra Hydrogen Hub,Norway,Europe,Europe,Cancelled,Fuel transformation,Full chain,,,,2030,2021,,,,,Cancelled,Fuel transformation,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Avedøre Power Station CCS,Denmark,Europe,Europe,Under construction,Power and heat,Capture,,Dedicated storage,,2026,2021,150000.0,0.15,,,Under construction,Power and heat,IEA-CCUS-2026.xlsx,under_construction
Balikpapan Refinery,Indonesia,Indonesia,Other Asia Pacific,Planned,Fuel transformation,Full chain,,,,2030,2022,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Barents Blue ammonia project Train 1,Norway,Europe,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,2031,2021,2000000.0,2.0,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Barents Blue ammonia project Train 2,Norway,Europe,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,,2021,2000000.0,2.0,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Barents Blue ammonia project Train 3,Norway,Europe,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,,2021,2000000.0,2.0,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Barossa and Darwin liquefied natural gas (DLNG) CCUS,Australia,Australia,Australia and New Zealand,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2021,2300000.0,2.3,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Bayou Bend East offshore (TX),United States,United States,North America,Planned,CO2 T&S,T&S,,Dedicated storage,,,2021,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Bayu-Undan field storage hub Timor-Leste phase 1,Australia-Timor Leste,Australia-Timor Leste,Australia and New Zealand,Planned,CO2 T&S,T&S,,Dedicated storage,,2028,2021,2300000.0,2.3,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Soderenergi Igelsta plant,Sweden,Europe,Europe,Cancelled,Power and heat,Capture,,Dedicated storage,,,2020,500000.0,0.5,,,Cancelled,Power and heat,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Bonanza BioEnergy CCUS EOR (KS),United States,United States,North America,Operational,Fuel transformation,Full chain,,EOR,,2012,2010,160000.0,0.16,,,Operational,Fuel transformation,IEA-CCUS-2026.xlsx,operational
Berrima cement plant (NSW),Australia,Australia,Australia and New Zealand,Cancelled,Industry,CCU,,,,,2022,100000.0,0.1,,,Cancelled,Industry,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Borealis Antwerp CCS,Belgium,Europe,Europe,Planned,Industry,Capture,,,,2030,2021,,,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Borregaard / SAE (Borg CO2) (2 facilities),Norway,Europe,Europe,Planned,Power and heat,Capture,,Dedicated storage,,2035,2019,150000.0,0.15,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Boryeong Blue hydrogen,South Korea,South Korea,Other Asia Pacific,Planned,Fuel transformation,Capture,,Dedicated storage,,,2021,2000000.0,2.0,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Boundary Dam CCS (SASK),Canada,Canada,North America,Operational,Power and heat,Capture,,EOR,,2014,2008,1000000.0,1.0,,,Operational,Power and heat,IEA-CCUS-2026.xlsx,operational
Bridgeport Energy Moonie CCUS Project,Australia,Australia,Australia and New Zealand,Cancelled,CO2 T&S,T&S,,EOR,,2025,2018,120000.0,0.12,,,Cancelled,CO2 T&S,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Broadwing Clean Energy Complex (IL),United States,United States,North America,Planned,Power and heat,Capture,,Dedicated storage,,2030,2021,2000000.0,2.0,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Bushmills Ethanol Atwater (MN),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2022,230000.0,0.23,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
CalCapture CCPP (Elk Hills) (CA) ,United States,United States,North America,Planned,Power and heat,Capture,,Dedicated storage,,2028,2019,1400000.0,1.4,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Caledonia Clean Energy (previously Captain Clean Energy),United Kingdom,Europe,Europe,Planned,Power and heat,Full chain,,Dedicated storage,,2028,2012,3000000.0,3.0,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Carbon America Sterling ethanol (CO),United States,United States,North America,Planned,Fuel transformation,Full chain,,Dedicated storage,,2029,2022,350000.0,0.35,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Carbon America Yuma ethanol (CO),United States,United States,North America,Planned,Fuel transformation,Full chain,,Dedicated storage,,2029,2022,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Carbon Capture at Ince Fertiliser Site,United Kingdom,Europe,Europe,Cancelled,Industry,Capture,,Dedicated storage,,,2018,400000.0,0.4,,,Cancelled,Industry,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Carbon2ProductAustria (C2PAT) - Lafarge Mannersdorf,Austria,Austria,Europe,Planned,Industry,CCU,,,,2030,2020,750000.0,0.75,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
CarbonCapture DACU Carbon Cure at Gary Works (IN),United States,United States,North America,Planned,DAC,CCU,,,,,2022,5000.0,0.005,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
CarbonNet,Australia,Australia,Australia and New Zealand,Planned,CO2 T&S,T&S,,Dedicated storage,,2030,2010,6000000.0,6.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
CCUS at Red Hills natural gas processing complex (NM) EOR Phase 2,United States,United States,North America,Under construction,Fuel transformation,Full chain,,EOR,,,2022,360000.0,0.36,,,Under construction,Fuel transformation,IEA-CCUS-2026.xlsx,under_construction
CCUS at Red Hills natural gas processing complex (NM) EOR Phase 3,United States,United States,North America,Planned,Fuel transformation,Full chain,,EOR,,2028,2022,260000.0,0.26,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Cementa Slite plant,Sweden,Europe,Europe,Planned,Industry,Capture,,Dedicated storage,,2032,2021,1800000.0,1.8,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Century plant (TX),United States,United States,North America,Operational,Fuel transformation,Full chain,,EOR,,2010,2008,4320000.0,4.32,,,Operational,Fuel transformation,IEA-CCUS-2026.xlsx,operational
Cerilon gas-to-liquids complex (ND),United States,United States,North America,Planned,Industry,Full chain,,Dedicated storage,,2029,2021,2000000.0,2.0,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Blue Point Number One Ammonia Complex (LA),United States,United States,North America,Under construction,Fuel transformation,Full chain,,Dedicated storage,,2029,2022,2300000.0,2.3,,,Under construction,Fuel transformation,IEA-CCUS-2026.xlsx,under_construction
Changling Gas plant /Jilin Oil Field CO2-EOR Full-scale (Jilin),People's Republic of China,People's Republic of China,Other Asia Pacific,Operational,Fuel transformation,Full chain,,EOR,,2018,2006,600000.0,0.6,,,Operational,Fuel transformation,IEA-CCUS-2026.xlsx,operational
China Energy Taizhou power (Jiangsu),People's Republic of China,People's Republic of China,Other Asia Pacific,Operational,Power and heat,Full chain,,,,2023,2021,500000.0,0.5,,,Operational,Power and heat,IEA-CCUS-2026.xlsx,operational
China Energy Guohua Jinjie Power (Shaanxi),People's Republic of China,People's Republic of China,Other Asia Pacific,Operational,Power and heat,Full chain,,,,2021,2018,150000.0,0.15,,,Operational,Power and heat,IEA-CCUS-2026.xlsx,operational
CinfraCap (Carbon Infrastructure Capture) - Port of Gothenburg,Sweden,Europe,Europe,Planned,CO2 T&S,Transport,,Dedicated storage,,,2020,4000000.0,4.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Amager Bakke/Amager Resource Centre (ARC),Denmark,Europe,Europe,Cancelled,Power and heat,Capture,,Dedicated storage,,2026,2020,500000.0,0.5,,,Cancelled,Power and heat,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Climeworks DAC at Brawley Geothermal (CA),United States,United States,North America,Planned,DAC,Full chain,,Dedicated storage,,,2022,5000.0,0.005,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
Climeworks Norsk e fuel phase 1,Norway,Europe,Europe,Planned,DAC,CCU,,,,,2020,39000.0,0.039,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
Climeworks Norsk e fuel phase 2,Norway,Europe,Europe,Planned,DAC,CCU,,,,2028,2020,35000.0,0.035,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
Climeworks Norsk e fuel phase 3,Norway,Europe,Europe,Planned,DAC,CCU,,,,2030,2020,184000.0,0.184,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
Enhance Clive Sequestration Facility (ALB),Canada,Canada,North America,Operational,CO2 T&S,Storage,,EOR,,2020,2011,1500000.0,1.5,,,Operational,CO2 T&S,IEA-CCUS-2026.xlsx,operational
Enping 15-1 offshore CCS (Hong Kong),People's Republic of China,People's Republic of China,Other Asia Pacific,Operational,Fuel transformation,Full chain,,Dedicated storage,,2023,2021,300000.0,0.3,,,Operational,Fuel transformation,IEA-CCUS-2026.xlsx,operational
Junggar Basin Hub - Northwest phase 1 (Xinjiang),People's Republic of China,People's Republic of China,Other Asia Pacific,Planned,CO2 T&S,T&S,,EOR,,2028,2019,1000000.0,1.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Junggar Basin Hub - Northwest phase 2 (Xinjiang),People's Republic of China,People's Republic of China,Other Asia Pacific,Planned,CO2 T&S,T&S,,EOR,,2030,2019,2000000.0,2.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Junggar Basin Hub - Refinery Hydrogen (Xinjiang) ,People's Republic of China,People's Republic of China,Other Asia Pacific,Planned,Fuel transformation,Capture,,EOR,,2028,2019,1000000.0,1.0,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
CO2 capture at Coal Creek (ND),United States,United States,North America,Planned,Power and heat,Capture,,Dedicated storage,,,2021,,,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
CO2 TO METHANOL Finnfjord Ferrosilicon,Norway,Europe,Europe,Planned,Industry,CCU,,,,,2017,300000.0,0.3,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Coda terminal Phase 1,Island,Island,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2029,2021,700000.0,0.7,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Coda terminal Phase 2,Island,Island,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2030,2021,700000.0,0.7,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Coda terminal phase 3,Island,Island,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2032,2021,1600000.0,1.6,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Coffeyville fertiliser Plant (KS),United States,United States,North America,Operational,Industry,Full chain,,EOR,,2013,2011,900000.0,0.9,,,Operational,Industry,IEA-CCUS-2026.xlsx,operational
Core Energy CO2-EOR South Chester plant (MI),United States,United States,North America,Operational,Fuel transformation,Full chain,,EOR,,2003,,350000.0,0.35,,,Operational,Fuel transformation,IEA-CCUS-2026.xlsx,operational
Corn LP Goldfield biorefinery (IA),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2021,215000.0,0.215,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
CORY EfW plant Belvedere,United Kingdom,Europe,Europe,Planned,Power and heat,Full chain,,Dedicated storage,,2030,2021,1300000.0,1.3,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Coyote Clean Power Project (CO),United States,United States,North America,Planned,Power and heat,Full chain,,,,,2021,865000.0,0.865,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
CRP Haifeng Project (Guangdong),People's Republic of China,People's Republic of China,Other Asia Pacific,Planned,Power and heat,Capture,,,,2030,2013,1000000.0,1.0,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
CTSCo Project,Australia,Australia,Australia and New Zealand,Cancelled,Power and heat,Full chain,,Dedicated storage,,2026,2010,110000.0,0.11,,,Cancelled,Power and heat,IEA-CCUS-2026.xlsx,cancelled_or_suspended
STRATOS (TX) - phase 1,United States,United States,North America,Under construction,DAC,Full chain,,,,2026,2019,250000.0,0.25,,,Under construction,DAC,IEA-CCUS-2026.xlsx,under_construction
STRATOS (TX) - phase 2,United States,United States,North America,Under construction,DAC,Full chain,,,,2026,2019,250000.0,0.25,,,Under construction,DAC,IEA-CCUS-2026.xlsx,under_construction
Dakota Ethanol Wentworth biorefinery (SD),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2021,257000.0,0.257,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Dakota H2 Hub (ND),United States,United States,North America,Planned,Fuel transformation,Full chain,,Dedicated storage,,2027,2021,2712000.0,2.712,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Dalmia Cement (Bharat) Tamil Nadu,India,India,Other Asia Pacific,Planned,Industry,CCU,,,,2040,2019,500000.0,0.5,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Dalstur Energy Coal India coal hydrogen,India,India,Other Asia Pacific,Planned,Fuel transformation,Capture,,,,,2022,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
D'Artagnan Dunkirk CO2 Hub Phase 1,France,Europe,Europe,Planned,CO2 T&S,Transport,,Dedicated storage,,2027,2021,1500000.0,1.5,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
D'Artagnan Dunkirk CO2 Hub Phase 2,France,Europe,Europe,Planned,CO2 T&S,Transport,,Dedicated storage,,2031,2021,1400000.0,1.4,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
D'Artagnan Dunkirk CO2 Hub Phase 3,France,Europe,Europe,Planned,CO2 T&S,Transport,,Dedicated storage,,2035,2021,5600000.0,5.6,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Illinois Basin Decatur Project (IL),United States,United States,North America,Decommissioned,Fuel transformation,Full chain,,Dedicated storage,,2011,2009,330000.0,0.33,,,Decommissioned,Fuel transformation,IEA-CCUS-2026.xlsx,cancelled_or_suspended
DelpHYnus hydrogen production Theddlethorpe,United Kingdom,Europe,Europe,Cancelled,Fuel transformation,Capture,,Dedicated storage,,2027,2021,5000000.0,5.0,,,Cancelled,Fuel transformation,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Delta Rhyne Corridor ,Germany-Netherlands,Germany-Netherlands,Europe,Planned,CO2 T&S,Transport,,Dedicated storage,,2032,2021,22000000.0,22.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Denbury / Mitsubishi Gulf Coast ammonia project (TBD),United States,United States,North America,Planned,CO2 T&S,T&S,,Dedicated storage,,,2021,1800000.0,1.8,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Linde hydrogen to Dow Fort Saskatchewan Path2Zero (ALB),Canada,Canada,North America,Under construction,Industry,Capture,,,,2029,2021,2000000.0,2.0,,,Under construction,Industry,IEA-CCUS-2026.xlsx,under_construction
Drax BECCS Project (Phase 1),United Kingdom,Europe,Europe,Planned,Power and heat,Capture,,Dedicated storage,,2028,2019,4300000.0,4.3,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Drax BECCS Project (Phase 2),United Kingdom,Europe,Europe,Planned,Power and heat,Capture,,Dedicated storage,,2030,2019,3700000.0,3.7,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Dry Fork Integrated Commercial CCS/Wyoming CarbonSafe (WY),United States,United States,North America,Planned,Power and heat,Full chain,,Dedicated storage,,2028,2016,3000000.0,3.0,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Eastern Wyoming Sequestration Hub (WY) (Juniper I-1),United States,United States,North America,Operational,CO2 T&S,Storage,,Dedicated storage,,2025,2022,1500000.0,1.5,,,Operational,CO2 T&S,IEA-CCUS-2026.xlsx,operational
Edmonton Blue Hydrogen plant (ALB),Canada,Canada,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,,2021,1443000.0,1.443,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Enbridge Ingleside Energy Center Low carbon ammonia (TX),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2022,1890000.0,1.89,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
 Offshore Western Kyushu CCS - J-Power power plant,Japan,Japan,Other Asia Pacific,Planned,Power and heat,Capture,,Dedicated storage,,2030,2022,,,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Energean hydrogen plant,Greece,Greece,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,2030,2021,2500000.0,2.5,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
ENI Ravenna power plant ,Italy,Europe,Europe,Planned,Power and heat,Capture,,Dedicated storage,,2030,2020,800000.0,0.8,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
ENI Venice bio-refinery Porto Marghera,Italy,Europe,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,2030,2020,200000.0,0.2,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Enid fertiliser (OK),United States,United States,North America,Operational,Industry,Full chain,,EOR,,1982,,680000.0,0.68,,,Operational,Industry,IEA-CCUS-2026.xlsx,operational
Ervia Cork CCS -  Aghada CCGT,Ireland,Ireland,Europe,Planned,Power and heat,Capture,,,,2030,2018,,,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Ervia Cork CCS - Irving refinery,Ireland,Ireland,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,2030,2018,2500000.0,2.5,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Ervia Cork CCS - Whitegate CCGT,Ireland,Ireland,Europe,Planned,Power and heat,Capture,,,,2030,2018,,,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
ExxonMobil Baytown petrochemical site (TX),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,,2022,7000000.0,7.0,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Exxonmobil Antwerp Refinery CCS,Belgium,Europe,Europe,Planned,Fuel transformation,Capture,,,,2030,2021,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Air Products for Exxonmobil Botlek Rotterdam refinery,Netherlands,Europe,Europe,Under construction,Fuel transformation,Capture,,Dedicated storage,,2026,2019,958000.0,0.958,,,Under construction,Fuel transformation,IEA-CCUS-2026.xlsx,under_construction
Fidelis Project Cyclus Baton Rouge (LA) AtmosClear BECCS,United States,United States,North America,Planned,Power and heat,Full chain,,Dedicated storage,,2029,2022,680000.0,0.68,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Freeport LNG CCS (TX),United States,United States,North America,Planned,Fuel transformation,Full chain,,Dedicated storage,,2028,2021,500000.0,0.5,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Frevar KF / Kvitebjorn BIO-EL (Borg CO2) (2 facilities),Norway,Europe,Europe,Planned,Power and heat,Capture,,Dedicated storage,,2035,2019,120000.0,0.12,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Frog Lake Power Plant (ALB),Canada,Canada,North America,Cancelled,Power and heat,Capture,,Dedicated storage,,2025,2021,800000.0,0.8,,,Cancelled,Power and heat,IEA-CCUS-2026.xlsx,cancelled_or_suspended
FS Lucas do Rio Verde ethanol biorefinery complex,Brazil,Brazil,Central and South America,Planned,Fuel transformation,Full chain,,Dedicated storage,,2030,2021,423000.0,0.423,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Future Biogas plants phase 1,United Kingdom,Europe,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,,2021,200000.0,0.2,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Future Biogas plants phase 2,United Kingdom,Europe,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2021,345000.0,0.345,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
G2 Net-Zero (LA),United States,United States,North America,Planned,Fuel transformation,Capture,,,,2027,2020,4000000.0,4.0,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
