project_name,country,common_region,region_group,status,sector,capture_type,transport_type,storage_type,utilization_type,start_year,announced_year,capacity_tpa,capacity_mtpa,latitude,longitude,raw_status,raw_sector,source_file,status_standardized
Deep Sky Bécancour (QC),Canada,Canada,North America,Planned,DAC,Full chain,,Dedicated storage,,,2024,,,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
Deep Sky Manitoba (MB),Canada,Canada,North America,Planned,DAC,Full chain,,,,,2025,,,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
Golianovo CO₂ Storage Site ,Slovakia,Slovakia,Europe,Planned,CO2 T&S,Storage,,Dedicated storage,,,,1500000.0,1.5,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Genesis Belle Plaine CCS (SK),Canada,Canada,North America,Planned,Industry,Full chain,,Dedicated storage,,2029,2024,1000000.0,1.0,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Innisfail Waste to Energy Project (AB),Canada,Canada,North America,Planned,Power and heat,Full chain,,,,2028,,185000.0,0.185,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
NG power plant with CCS in Southeast US ,United States,United States,North America,Planned,Power and heat,Capture,,,,,2025,,,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
McMahon Energy Complex (BC),Canada,Canada,North America,Planned,Fuel transformation,Capture,,,,2034,2025,1180000.0,1.18,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
NorthStar CCS (SK),Canada,Canada,North America,Planned,Power and heat,Full chain,,,,2027,2024,,,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Oceania CCS - Nippon steel plant,Japan,Japan,Other Asia Pacific,Planned,Industry,Capture,,Dedicated storage,,,2023,,,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Oceania CCS - Mitsubishi chemical plant,Japan,Japan,Other Asia Pacific,Planned,Industry,Capture,,Dedicated storage,,,2023,,,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
