Region,Metric,Scenario,Year,Value
World,IT electricity consumption (TWh),Base Case,2020,176.0
World,IT electricity consumption (TWh),Base Case,2023,252.0
World,IT electricity consumption (TWh),Base Case,2024,295.0
World,IT electricity consumption (TWh),Base Case,2030,733.0
North America,IT electricity consumption (TWh),Base Case,2020,80.0
North America,IT electricity consumption (TWh),Base Case,2023,120.0
North America,IT electricity consumption (TWh),Base Case,2024,142.0
North America,IT electricity consumption (TWh),Base Case,2030,351.0
United States,IT electricity consumption (TWh),Base Case,2020,78.0
United States,IT electricity consumption (TWh),Base Case,2023,117.0
United States,IT electricity consumption (TWh),Base Case,2024,139.0
United States,IT electricity consumption (TWh),Base Case,2030,345.0
Central and South America,IT electricity consumption (TWh),Base Case,2020,0.8
Central and South America,IT electricity consumption (TWh),Base Case,2023,0.8
Central and South America,IT electricity consumption (TWh),Base Case,2024,1.0
Central and South America,IT electricity consumption (TWh),Base Case,2030,2.2
Europe,IT electricity consumption (TWh),Base Case,2020,36.0
Europe,IT electricity consumption (TWh),Base Case,2023,45.0
Europe,IT electricity consumption (TWh),Base Case,2024,47.0
Europe,IT electricity consumption (TWh),Base Case,2030,88.0
Africa,IT electricity consumption (TWh),Base Case,2020,0.6
Africa,IT electricity consumption (TWh),Base Case,2023,0.7
Africa,IT electricity consumption (TWh),Base Case,2024,0.8
Africa,IT electricity consumption (TWh),Base Case,2030,1.8
Middle East,IT electricity consumption (TWh),Base Case,2020,0.5
Middle East,IT electricity consumption (TWh),Base Case,2023,0.7
Middle East,IT electricity consumption (TWh),Base Case,2024,0.8
Middle East,IT electricity consumption (TWh),Base Case,2030,1.7
Asia Pacific,IT electricity consumption (TWh),Base Case,2020,55.0
Asia Pacific,IT electricity consumption (TWh),Base Case,2023,82.0
Asia Pacific,IT electricity consumption (TWh),Base Case,2024,100.0
Asia Pacific,IT electricity consumption (TWh),Base Case,2030,281.0
China,IT electricity consumption (TWh),Base Case,2020,37.0
China,IT electricity consumption (TWh),Base Case,2023,54.0
China,IT electricity consumption (TWh),Base Case,2024,68.0
China,IT electricity consumption (TWh),Base Case,2030,205.0
